PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 -----------------------------------------------------------------------
     1    2  12.000  index, nleg, degeneracy, r=  2.4819
   -5.265000   -1.755000    0.000000   1 'Cu    '     5.5498  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     5.5498  180.0000    0.0000
    17    3  48.000  index, nleg, degeneracy, r=  5.7709
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    0.000000   -3.510000   1 'Cu    '     3.5100  161.5651    0.0000
    0.000000    1.755000    1.755000   1 'Cu    '     5.5498  153.4349    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819   45.0000    0.0000
    18    3  48.000  index, nleg, degeneracy, r=  5.7709
      x           y           z     ipot  label      rleg      beta        eta
    0.000000   -1.755000    5.265000   1 'Cu    '     5.5498  161.5651    0.0000
    0.000000   -1.755000    1.755000   1 'Cu    '     3.5100   45.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  153.4349    0.0000
    19    3  48.000  index, nleg, degeneracy, r=  5.7709
      x           y           z     ipot  label      rleg      beta        eta
   -5.265000   -1.755000    0.000000   1 'Cu    '     5.5498  153.4349    0.0000
   -3.510000    0.000000    0.000000   1 'Cu    '     2.4819   45.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     3.5100  161.5651    0.0000
    20    3  96.000  index, nleg, degeneracy, r=  5.8723
      x           y           z     ipot  label      rleg      beta        eta
    3.510000    0.000000    3.510000   1 'Cu    '     4.9639  150.0000    0.0000
    1.755000   -1.755000    0.000000   1 'Cu    '     4.2989   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  120.0000    0.0000
    21    3  96.000  index, nleg, degeneracy, r=  5.8723
      x           y           z     ipot  label      rleg      beta        eta
    3.510000    0.000000    3.510000   1 'Cu    '     4.9639  120.0000    0.0000
    1.755000   -1.755000    3.510000   1 'Cu    '     2.4819   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.2989  150.0000    0.0000
    22    4  96.000  index, nleg, degeneracy, r=  5.8723
      x           y           z     ipot  label      rleg      beta        eta
    3.510000    1.755000   -1.755000   1 'Cu    '     4.2989   90.0000    0.0000
    3.510000    0.000000   -3.510000   1 'Cu    '     2.4819  120.0000    0.0000
    1.755000    0.000000   -1.755000   1 'Cu    '     2.4819    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  150.0000    0.0000
    23    4  96.000  index, nleg, degeneracy, r=  5.8723
      x           y           z     ipot  label      rleg      beta        eta
    1.755000    1.755000    0.000000   1 'Cu    '     2.4819    0.0000    0.0000
    3.510000    3.510000    0.000000   1 'Cu    '     2.4819  150.0000    0.0000
    1.755000    0.000000   -1.755000   1 'Cu    '     4.2989   90.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  120.0000    0.0000
    24    2   8.000  index, nleg, degeneracy, r=  6.0795
      x           y           z     ipot  label      rleg      beta        eta
    3.510000   -3.510000    3.510000   1 'Cu    '     6.0795  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     6.0795  180.0000    0.0000
    25    3  96.000  index, nleg, degeneracy, r=  6.1653
      x           y           z     ipot  label      rleg      beta        eta
    1.755000    0.000000   -5.265000   1 'Cu    '     5.5498  154.6482    0.0000
    0.000000   -1.755000   -1.755000   1 'Cu    '     4.2989   73.2213    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  132.1304    0.0000
    26    3  48.000  index, nleg, degeneracy, r=  6.4301
      x           y           z     ipot  label      rleg      beta        eta
   -1.755000   -1.755000   -3.510000   1 'Cu    '     4.2989  160.5288    0.0000
    1.755000    1.755000    0.000000   1 'Cu    '     6.0795  144.7356    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819   54.7356    0.0000
    27    3  48.000  index, nleg, degeneracy, r=  6.4301
      x           y           z     ipot  label      rleg      beta        eta
    3.510000    3.510000   -3.510000   1 'Cu    '     6.0795  160.5288    0.0000
    1.755000    0.000000   -1.755000   1 'Cu    '     4.2989   54.7356    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  144.7356    0.0000
    28    2  48.000  index, nleg, degeneracy, r=  6.5666
      x           y           z     ipot  label      rleg      beta        eta
   -5.265000   -1.755000   -3.510000   1 'Cu    '     6.5666  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     6.5666  180.0000    0.0000
    29    3  96.000  index, nleg, degeneracy, r=  6.6737
      x           y           z     ipot  label      rleg      beta        eta
    0.000000    1.755000    1.755000   1 'Cu    '     2.4819  160.8934    0.0000
    1.755000   -1.755000   -3.510000   1 'Cu    '     6.5666  169.1066    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.2989   30.0000    0.0000
    30    3  96.000  index, nleg, degeneracy, r=  6.6737
      x           y           z     ipot  label      rleg      beta        eta
   -3.510000   -1.755000    5.265000   1 'Cu    '     6.5666  169.1066    0.0000
   -1.755000    0.000000    1.755000   1 'Cu    '     4.2989   30.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  160.8934    0.0000
    31    3  96.000  index, nleg, degeneracy, r=  6.6737
      x           y           z     ipot  label      rleg      beta        eta
   -1.755000   -3.510000    5.265000   1 'Cu    '     6.5666  160.8934    0.0000
   -1.755000   -1.755000    3.510000   1 'Cu    '     2.4819   30.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.2989  169.1066    0.0000
    32    4  96.000  index, nleg, degeneracy, r=  6.7808
      x           y           z     ipot  label      rleg      beta        eta
    1.755000    1.755000    3.510000   1 'Cu    '     4.2989  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.2989   30.0000    0.0000
    0.000000   -1.755000   -1.755000   1 'Cu    '     2.4819  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819   30.0000    0.0000
    33    4  96.000  index, nleg, degeneracy, r=  6.7808
      x           y           z     ipot  label      rleg      beta        eta
    1.755000   -3.510000    1.755000   1 'Cu    '     4.2989  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.2989  150.0000    0.0000
    1.755000   -1.755000    0.000000   1 'Cu    '     2.4819  180.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  150.0000    0.0000
    34    4  96.000  index, nleg, degeneracy, r=  6.7808
      x           y           z     ipot  label      rleg      beta        eta
   -3.510000   -1.755000   -1.755000   1 'Cu    '     4.2989   30.0000    0.0000
   -5.265000   -1.755000   -3.510000   1 'Cu    '     2.4819  150.0000    0.0000
   -1.755000    0.000000   -1.755000   1 'Cu    '     4.2989   30.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  150.0000    0.0000
    35    3  96.000  index, nleg, degeneracy, r=  7.0062
      x           y           z     ipot  label      rleg      beta        eta
    0.000000   -3.510000   -3.510000   1 'Cu    '     4.9639  160.8934    0.0000
    1.755000    0.000000    1.755000   1 'Cu    '     6.5666  139.1066    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819   60.0000    0.0000
    36    3  96.000  index, nleg, degeneracy, r=  7.0062
      x           y           z     ipot  label      rleg      beta        eta
    5.265000   -3.510000    1.755000   1 'Cu    '     6.5666  160.8934    0.0000
    1.755000    0.000000    1.755000   1 'Cu    '     4.9639   60.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  139.1066    0.0000
    37    3  96.000  index, nleg, degeneracy, r=  7.0062
      x           y           z     ipot  label      rleg      beta        eta
    3.510000    5.265000    1.755000   1 'Cu    '     6.5666  139.1066    0.0000
    3.510000    3.510000    0.000000   1 'Cu    '     2.4819   60.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     4.9639  160.8934    0.0000
    38    4  96.000  index, nleg, degeneracy, r=  7.0062
      x           y           z     ipot  label      rleg      beta        eta
    1.755000    0.000000   -1.755000   1 'Cu    '     2.4819    0.0000    0.0000
    3.510000    0.000000   -3.510000   1 'Cu    '     2.4819  160.8934    0.0000
    0.000000    1.755000    1.755000   1 'Cu    '     6.5666  139.1066    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819   60.0000    0.0000
    39    4  96.000  index, nleg, degeneracy, r=  7.0062
      x           y           z     ipot  label      rleg      beta        eta
   -1.755000   -3.510000    5.265000   1 'Cu    '     6.5666  139.1066    0.0000
    0.000000   -3.510000    3.510000   1 'Cu    '     2.4819   60.0000    0.0000
    0.000000   -1.755000    1.755000   1 'Cu    '     2.4819    0.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  160.8934    0.0000
    40    4  96.000  index, nleg, degeneracy, r=  7.0062
      x           y           z     ipot  label      rleg      beta        eta
    5.265000    1.755000    3.510000   1 'Cu    '     6.5666  160.8934    0.0000
    3.510000    1.755000    1.755000   1 'Cu    '     2.4819    0.0000    0.0000
    1.755000    1.755000    0.000000   1 'Cu    '     2.4819   60.0000    0.0000
    0.000000    0.000000    0.000000   0 'Cu    '     2.4819  139.1066    0.0000
    41    2   6.000  index, nleg, degeneracy, r=  7.0200
      x           y           z     ipot  label      rleg      beta        eta
