 # Once                                                             FEFF 9.9.1
 # POT  SCF 100 10.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=29 Rmt= 1.406 Rnm= 1.457 K  shell
 # Pot 1 Z=29 Rmt= 1.317 Rnm= 1.353
 # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-8.226E+00eV kf=2.060E+00 Vint=-1.835E+01eV Rs_int= 1.760
 # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   44      icalc       2
 -----------------------------------------------------------------------
   2  36.000   7.4458    2.5596   -8.22632 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -1.7550    7.0200   -1.7550  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.7430E+00  0.0000E+00 -3.5948E+00  9.724E-01  1.4380E+01  1.6316E+00
  0.100  3.7442E+00  4.7524E-02 -5.0408E+00  9.726E-01  1.4405E+01  1.6345E+00
  0.200  3.7476E+00  9.4032E-02 -6.4012E+00  9.734E-01  1.4481E+01  1.6433E+00
  0.300  3.7532E+00  1.3865E-01 -7.6775E+00  9.746E-01  1.4603E+01  1.6578E+00
  0.400  3.7605E+00  1.8073E-01 -8.8725E+00  9.763E-01  1.4763E+01  1.6779E+00
  0.500  3.7691E+00  2.1989E-01 -9.9893E+00  9.784E-01  1.4952E+01  1.7034E+00
  0.600  3.7786E+00  2.5600E-01 -1.1031E+01  9.809E-01  1.5158E+01  1.7340E+00
  0.700  3.7884E+00  2.8906E-01 -1.2003E+01  9.838E-01  1.5368E+01  1.7697E+00
  0.800  3.7977E+00  3.1917E-01 -1.2906E+01  9.871E-01  1.5564E+01  1.8100E+00
  0.900  3.8059E+00  3.4643E-01 -1.3747E+01  9.908E-01  1.5732E+01  1.8547E+00
  1.000  3.8122E+00  3.7092E-01 -1.4526E+01  9.948E-01  1.5856E+01  1.9037E+00
  1.100  3.8161E+00  3.9266E-01 -1.5249E+01  9.991E-01  1.5924E+01  1.9566E+00
  1.200  3.8168E+00  4.1160E-01 -1.5917E+01  1.004E+00  1.5925E+01  2.0132E+00
  1.300  3.8137E+00  4.2767E-01 -1.6533E+01  1.009E+00  1.5854E+01  2.0734E+00
  1.400  3.8063E+00  4.4075E-01 -1.7099E+01  1.014E+00  1.5712E+01  2.1370E+00
  1.500  3.7940E+00  4.5075E-01 -1.7616E+01  1.020E+00  1.5501E+01  2.2039E+00
  1.600  3.7765E+00  4.5755E-01 -1.8086E+01  1.026E+00  1.5232E+01  2.2740E+00
  1.700  3.7534E+00  4.6107E-01 -1.8509E+01  1.032E+00  1.4919E+01  2.3472E+00
  1.800  3.7243E+00  4.6130E-01 -1.8884E+01  1.039E+00  1.4576E+01  2.4235E+00
  1.900  3.6889E+00  4.5820E-01 -1.9211E+01  1.045E+00  1.4222E+01  2.5030E+00
  2.000  3.6469E+00  4.5185E-01 -1.9489E+01  1.052E+00  1.3876E+01  2.5855E+00
  2.200  3.5424E+00  4.2977E-01 -1.9885E+01  1.063E+00  1.3287E+01  2.7606E+00
  2.400  3.3859E+00  3.8784E-01 -1.9890E+01  1.068E+00  1.2972E+01  2.9596E+00
  2.600  3.2433E+00  3.3095E-01 -2.0006E+01  1.220E+00  7.5063E+00  3.1564E+00
  2.800  3.2261E+00  3.0877E-01 -2.0879E+01  1.279E+00  6.1887E+00  3.3018E+00
  3.000  3.1991E+00  2.8567E-01 -2.1714E+01  1.303E+00  5.6355E+00  3.4463E+00
  3.200  3.1433E+00  2.6041E-01 -2.2348E+01  1.299E+00  5.3855E+00  3.6003E+00
  3.400  3.0754E+00  2.3713E-01 -2.2832E+01  1.287E+00  5.2925E+00  3.7596E+00
  3.600  2.9985E+00  2.2017E-01 -2.3172E+01  1.270E+00  5.2928E+00  3.9237E+00
  3.800  2.9165E+00  2.1756E-01 -2.3389E+01  1.250E+00  5.3549E+00  4.0919E+00
  4.000  2.8298E+00  2.3298E-01 -2.3534E+01  1.229E+00  5.4613E+00  4.2639E+00
  4.200  2.7396E+00  2.6500E-01 -2.3664E+01  1.210E+00  5.6013E+00  4.4391E+00
  4.400  2.6479E+00  3.0940E-01 -2.3807E+01  1.190E+00  5.7682E+00  4.6171E+00
  4.600  2.5539E+00  3.6041E-01 -2.3960E+01  1.172E+00  5.9571E+00  4.7977E+00
  4.800  2.4581E+00  4.1263E-01 -2.4112E+01  1.155E+00  6.1647E+00  4.9804E+00
  5.000  2.3609E+00  4.6554E-01 -2.4264E+01  1.139E+00  6.3885E+00  5.1649E+00
  5.200  2.2621E+00  5.1701E-01 -2.4410E+01  1.124E+00  6.6267E+00  5.3512E+00
  5.400  2.1627E+00  5.6566E-01 -2.4546E+01  1.109E+00  6.8778E+00  5.5389E+00
  5.600  2.0625E+00  6.1086E-01 -2.4673E+01  1.096E+00  7.1406E+00  5.7279E+00
  5.800  1.9627E+00  6.5229E-01 -2.4790E+01  1.084E+00  7.4141E+00  5.9180E+00
  6.000  1.8641E+00  6.8974E-01 -2.4899E+01  1.071E+00  7.6977E+00  6.1091E+00
  6.500  1.6244E+00  7.5853E-01 -2.5133E+01  1.045E+00  8.4464E+00  6.5903E+00
  7.000  1.3980E+00  7.9166E-01 -2.5329E+01  1.025E+00  9.2463E+00  7.0756E+00
  7.500  1.1827E+00  7.9488E-01 -2.5500E+01  1.010E+00  1.0092E+01  7.5639E+00
  8.000  9.7564E-01  7.7797E-01 -2.5651E+01  9.986E-01  1.0980E+01  8.0545E+00
  8.500  7.7171E-01  7.4796E-01 -2.5784E+01  9.874E-01  1.1907E+01  8.5467E+00
  9.000  5.7921E-01  7.0671E-01 -2.5908E+01  9.781E-01  1.2870E+01  9.0404E+00
  9.500  3.9766E-01  6.5827E-01 -2.6028E+01  9.695E-01  1.3869E+01  9.5351E+00
 10.000  2.2463E-01  6.0869E-01 -2.6146E+01  9.607E-01  1.4901E+01  1.0031E+01
 11.000 -1.0944E-01  5.1587E-01 -2.6370E+01  9.457E-01  1.7060E+01  1.1024E+01
 12.000 -4.2302E-01  4.3155E-01 -2.6584E+01  9.353E-01  1.9338E+01  1.2019E+01
 13.000 -7.0916E-01  3.6120E-01 -2.6797E+01  9.301E-01  2.1729E+01  1.3015E+01
 14.000 -9.7650E-01  3.0383E-01 -2.7006E+01  9.272E-01  2.4227E+01  1.4012E+01
 15.000 -1.2230E+00  2.5850E-01 -2.7218E+01  9.261E-01  2.6827E+01  1.5009E+01
 16.000 -1.4524E+00  2.2373E-01 -2.7431E+01  9.262E-01  2.9524E+01  1.6008E+01
 17.000 -1.6667E+00  1.9643E-01 -2.7644E+01  9.267E-01  3.2314E+01  1.7006E+01
 18.000 -1.8660E+00  1.7484E-01 -2.7848E+01  9.279E-01  3.5194E+01  1.8005E+01
 19.000 -2.0533E+00  1.5760E-01 -2.8046E+01  9.292E-01  3.8160E+01  1.9004E+01
 20.000 -2.2286E+00  1.4441E-01 -2.8237E+01  9.306E-01  4.1210E+01  2.0003E+01
